Word	Definition
a	art. 一（个；件）
a bit	phr. 一点；稍微
a few	phr. 一些；几个
a little	phr. 一点；少量
a lot	phr. 很；非常
a lot of	phr. 许多；大量
a number of	phr. 许多；若干
a pair of	phr. 一双；一对
ability	n. 能力；才能
able	adj. 能够；有能力的
about	adv. 大约；到处；四处；prep. 关于；在各处；四处
above	prep. 在......上面；adj. 上面的；adv. 在......之上
above all	phr. 最重要的是；首先
abroad	adv. 到（在）国外
absent	adj. 缺席的；缺少的；心不在焉的；v. 使缺席
accept	v. 接受
accident	n. 事故；意外
according to	phr. 根据；按照
achieve	v. 取得；获得；实现
achievement	n. 成就；成绩
across	prep./adv. 横过；穿过；另一边；在对面
act	n. 法令；条例；v. 行动；（戏）表演；扮演（角色）
action	n. 行动；行为；举动
active	adj. 积极的；主动的
activity	n. 活动
actor	n. 男演员；行动者；作用物
actress	n. 女演员
ad	n. 公元；广告
add	n. 加法；加法运算；v. 加；增加；加起来
address	n. 地址；演讲；致辞；v. 演说；从事；忙于
admire	v. 钦佩；赞美；称赞
admit	v. 承认；容许；准许进入
adult	n. 成年人；adj. 成年的；成熟的
advantage	n. 优点；好处；有利条件
adventure	n. 冒险；奇遇
advertisement	n. 广告
advice	n. 忠告；劝告；建议
advise	v. 建议；劝告；忠告
affect	v. 影响
afford	v. 负担得起（......的费用）；抽得出（时间）；提供
afraid	adj. 害怕的；担心
after	adv. 在后；后来；prep. 在......之后；conj. 在......以后
after all	phr. 毕竟；终究
afternoon	n. 下午；午后
again	adv. 再一次；再；又
again and again	phr. 一再；反复地
against	prep. 对着；反对；倚靠
age	n. 年龄；时代
agent	n. 代理人；代理商；药剂；adj. 代理的；v. 由...作中介；由...代理
ago	adv. 以前
agree	v. 同意
agree with	phr. 同意；赞成；适合
agreement	n. 协议；同意；一致
agriculture	n. 农业；农耕；农业生产
ahead	adj. 向前；在前的；领先；adv. 向前地；领先地；在（某人或某事物的）前面
aid	n. 援助；帮助；助手；v. 援助；帮助；有助于
air	n. 空气；大气
airplane	n. （美）飞机
airport	n. 航空站；飞机场
alarm	n. 闹钟；警报；警告器；v. 警告；使惊恐
album	n. 相簿；唱片集；集邮簿
alive	adj. 活着的；存在的
all	adv. 全部地；adj. 全（部）；所有的；总；整；pron. 全部；全体
all kinds of	phr. 各种各样的
all over	phr. 遍及；到处
allow	v. 允许；准许
almost	adv. 几乎；差不多
alone	adj. 单独的；孤独的
along	adv. 向前；和......一起；一同；prep. 沿着；顺着
along with	phr. 连同；和......一起
aloud	adv. 大声地；出声地
already	adv. 已经
also	adv. 也
although	conj. 虽然；尽管
always	adv. 总是；一直；永远
amazing	adj. 惊叹的；震惊的；令人惊讶的
among	prep. 在......中间；在（三个以上）之间
amount	n. 数量；总额；总数；v. 总计；合计；相当于
amusement	n. 消遣；娱乐；乐趣
an	art. 一（个；件）
ancient	n. 古代人；老人；adj. 古代的；古老的；过时的
and	conj. 和；又
angry	adj. 生气的；愤怒的
animal	n. 动物
announce	v. 宣布；述说；预示
announcement	n. 通知；公告
another	adj. 再一；另一；别的；pron. 另一个
answer	n. 回答；答复；答案；v. 回答；答复；（作出）答案
ant	n. 蚂蚁
any	pron. 任何的；（用于疑问句、否定句）一些；什么
anybody	n. 重要人物；pron. 任何人
anyone	pron. 任何人；无论谁
anything	pron. 什么事（物）；任何事（物）
anyway	adv. 无论如何；不管怎样；总之
anywhere	adv. 任何地方
apartment	n. 公寓
apologize	v. 道歉
apology	n. 道歉；歉意
appear	v. 出现；显得；似乎
appearance	n. 外貌；外观；出现
apple	n. 苹果
application	n. 申请；应用
apply	v. 申请；应用
appointment	n. 约会；预约
area	n. 面积；地域；区域；范围；领域
argue	v. 争论；争吵
argument	n. 争论；论点
arm	n. 臂；支架；（美）武器；武力
army	n. 军队
around	adv. 在周围；在附近；prep. 在......周围；大约
arrange	v. 安排；整理
arrangement	n. 安排；布置
arrive	v. 到达；达到
arrive at	phr. 到达较小地点；得出
arrive in	phr. 到达较大地点
art	n. 艺术；美术；技艺
article	n. 文章；物品；冠词
artist	n. 艺术家；美术家
as	adv./conj. 像......一样；当......时；如同；因为；prep. 作为；当做
as a result	phr. 因此；结果
as far as	phr. 就......而言；远至
as for	phr. 至于；关于
as long as	phr. 只要
as soon as	phr. 一......就......
as usual	phr. 像往常一样
as well	phr. 也；还
as well as	phr. 除......之外也；和
ask	v. 问；请求；要求；邀请
ask for	phr. 请求；要求
asleep	adj. 睡着的；熟睡
astronaut	n. 宇航员；航天员；太空旅行者
at	prep. 在（几点钟）；在（某处）
at first	phr. 起初；首先
at home	phr. 在家
at last	phr. 最后；终于
at least	phr. 至少
at once	phr. 立刻；马上
at present	phr. 目前；现在
at school	phr. 在学校
at the age of	phr. 在......岁时
at the beginning of	phr. 在......开始时
at the end of	phr. 在......末尾
at the same time	phr. 同时
athlete	n. 运动员；体育家；身强力壮的人
attack	v./n. 攻击；袭击
attend	v. 看护；照料；服侍；出席；参加
attention	n. 注意；关心
attract	v. 吸引；引起
audience	n. 观众；听众；读者
aunt	n. 伯母；舅母；婶；姑；姨
autumn	n. 秋天；秋季
available	adj. 可获得的；可购得的；可找到的
average	n. 平均；平均数；海损；adj. 平均的；普通的；通常的；v. 算出...的平均数；将...平均分配；使...平衡
avoid	v. 避免；避开；躲避
awake	v. 唤醒；adj. 醒着的
award	n. 奖品；判决；v. 授予；判定
away	adv. 离开；远离
awful	adj.极坏的、极讨厌的、糟糕的、可怕的
baby	n. 婴儿
back	adv. 回（原处）；向后；adj. 后面的；n. 背后；后部；背
background	n. 背景；隐蔽的位置；adj. 背景的；发布背景材料的；v. 作...的背景
bad	adj. 坏的；有害的；不利的；严重的
badminton	n. 羽毛球
bag	n. 袋；猎获物；（俚）一瓶啤酒；v. 猎获；把...装入袋中；占据
bakery	n. 面包店
balance	n. 平衡；余额；匀称；v. 使平衡；结算；使相称
ball	n. 球；n. 舞会
ballet	n. 芭蕾舞剧；芭蕾舞乐曲
balloon	n. 气球
bamboo	n. 竹子
banana	n. 香蕉
band	n. 乐队；波段；一伙；一帮；带（状物）
bank	n.（河海湖的）岸；堤； 银行
bark	n. 树皮；深青棕色；毛皮；v. 狗叫；尖叫；剥皮
base	n. 根据地；基地；（棒球）垒
baseball	n. 棒球
basic	n. 基础；要素；adj. 基本的；基础的
basket	n. 篮子
basketball	n. 篮球
bat	n. 蝙蝠；球棒；球拍；v. 用球棒击球；击球率达...；轮到击球
bathroom	n. 浴室；厕所；盥洗室
battery	n. 电池；蓄电池；殴打
be	v. 是；成为；存在
be able to	phr. 能够
be afraid of	phr. 害怕
be angry with	phr. 生某人的气
be born	phr. 出生
be busy with	phr. 忙于
be careful with	phr. 小心对待
be different from	phr. 与......不同
be famous for	phr. 因......而著名
be filled with	phr. 充满
be fond of	phr. 喜爱
be full of	phr. 充满
be good at	phr. 擅长
be good for	phr. 对......有益
be interested in	phr. 对......感兴趣
be late for	phr. 迟到
be made from	phr. 由......制成；看不出原材料
be made of	phr. 由......制成；看得出原材料
be proud of	phr. 为......感到自豪
be ready for	phr. 为......做好准备
be satisfied with	phr. 对......满意
be similar to	phr. 与......相似
be strict with	phr. 对......严格
be surprised at	phr. 对......感到惊讶
be used to	phr. 习惯于
beach	n. 海滨；海滩
bean	n. 豆；嘴峰；毫无价值的东西；v. 击...的头部
bear	v. 承受；负担；承担；忍受；容忍；n. 熊
beat	v. 敲打；跳动；打赢；n.（音乐）节拍
beautiful	adj. 美；美丽；美观的
beauty	n. 美；美丽；美人
because	conj. 因为
because of	phr. 因为；由于
become	v. 变得；成为
bed	n. 床
bedroom	n. 寝室；卧室
bee	n. 蜜蜂
beef	n. 牛肉
beer	n. 啤酒
before	prep. 在......以前；在......前面；adv. 以前；conj. 在......之前
begin	v. 开始；着手
beginning	n. 开始；开端
behave	v. 表现；（机器等）运转；举止端正
behind	prep. （表示位置）在......后面；adv. 在后面；向后
believe	v. 相信；认为
bell	n. 钟；铃；钟（铃）声；钟形物
belong	v. 属于；应归入；居住
belong to	phr. 属于
below	prep. 在......下面
beside	prep. 在......旁边；靠近
besides	prep. 除......以外（还有）；adv. 还有；此外
best	adj. 最好的；adv. 最好地；n. 最好的人或物
better	adj. 更好的；adv. 更好地
between	prep. 在...之间；adv. 在中间
beyond	prep. 超过；越过；那一边；n. 远处；adv. 在远处；在更远处
big	adj. 大的
bike	n. 自行车
bill	n.账单；法案；议案；（美）钞票；纸币
biology	n. 生物（学）
bird	n. 鸟
birth	n. 出生；诞生
birthday	n. 生日
biscuit	n. 小点心；饼干
bit	n. 一点；一些；少量的
black	n. 黑色；adj. 黑色的
blackboard	n. 黑板
bleed	v. 使出血；榨取；流血
blind	adj. 瞎的
block	n. 块；街区；大厦；adj. 成批的；大块的；交通堵塞的；v. 阻止；阻塞；限制
blood	n. 血；血液；血统；v. 从...抽血；使先取得经验
blouse	n. 宽罩衫；（妇女、儿童穿的）短上衣
blow	v. 吹；刮风；吹气；n. 击；打击
blue	n. 蓝色；adj. 蓝色的；adj. 悲伤的；沮丧的
board	n. 木板；布告牌；（政府的）部；v. 上（船、火车、飞机）
boat	n. 小船；小舟
body	n. 身体
boil	n. 沸腾；煮沸；疖子；v. 煮沸；烧开；使...激动
bone	n. 骨；骨骼；v. 剔去...的骨；施骨肥于；苦学
book	n. 书；本子；v. 预定；定（房间、车票等）
boot	n. 长筒靴；靴
bored	v. 使厌烦；烦扰；adj. 无聊的；无趣的；烦人的
boring	adj. 乏味的；无聊的
born	adj. 出生的
borrow	v.（向别人）借用；借
boss	n. 老板；首领；工头；v. 指挥；调遣；当...的领导
both	adj. 两；双；pron. 两者；双方
bottle	n. 瓶子
bottom	n. 底部；底
boundary	n. 边界；范围；分界线
bow	n. 弓；鞠躬；船首；adj. 弯曲的；v. 鞠躬；弯腰
bowl	n. 碗
box	n. 盒子；箱子
boy	n. 男孩
brain	n. 脑（子）
branch	n. 树枝；分枝；分部；v. 分支；出现分歧
brave	n. 勇士；adj. 勇敢的；华丽的；v. 勇敢地面对
bread	n. 面包
break	n. 间隙；中断；暂停；v. 打破（断；碎）
break down	phr. 出故障；分解
break out	phr. 爆发
breakfast	n. 早餐
breath	n. 呼吸；气息；一口气
breathe	v. 呼吸
bridge	n. 桥
bright	adj. 明亮的；聪明的
bring	v. 拿来；带来；取来
bring out	phr. 使显现；出版
broad	n. 宽阔部分；adj. 宽的；辽阔的；显著的；adv. 宽阔地
broken	adj. 破损的；坏掉的
brother	n. 兄；弟
brown	n. 褐色；棕色；adj. 褐色的；棕色的
brush	v. 刷；擦；n. 刷子
build	v. 建筑；造
building	n. 建筑物；房屋；大楼
burn	v. 燃烧；着火；使烧焦；使晒黑；n. 烧伤；晒伤
bus	n. 公共汽车
bush	n. 灌木；矮树丛；adj. 如灌木般长得低矮的；粗野的；v. 以灌木装饰；使...精疲力竭；丛生
business	n.（本分）工作；职业；职责；生意；交易；事业
busy	adj. 忙（碌）的
but	conj. 但是；可是；prep. 除了； 除............外
butter	n. 黄油；奶油
butterfly	n. 蝴蝶
buy	v. 买
by	prep. 在......旁；不迟于；被；用；乘（车）
by accident	phr. 偶然；意外地
by air	phr. 乘飞机
by bike	phr. 骑自行车
by bus	phr. 乘公共汽车
by mistake	phr. 错误地；无意中
by the way	phr. 顺便说一下
cabbage	n. 卷心菜；洋白菜
cafe	n. 咖啡馆；小餐馆
cage	n. 笼；鸟笼
cake	n. 蛋糕；糕点；饼
calendar	n. 日历；历法；日程表；v. 将...列入表中；将...排入日程表
call	n. 喊；叫；电话；通话；v. 称呼；呼唤；喊；叫
call back	phr. 回电话；召回
call for	phr. 要求；需要
call on	phr. 拜访；号召
calm	n. 风平浪静；adj. 静的；平静的；沉着的；v. 使平静；使镇定；平静下来
camel	n. 骆驼
camera	n. 照相机；摄像机
camp	n.（夏令）营；v. 野营；宿营
can	modal v. 能；会；可以
cancel	v. 取消；撤销；删去；n. 取消；撤销
candle	n. 蜡烛
candy	n. 糖果
cap	n. 帽子；（瓶子的）盖
capital	n.首都；省会；大写；资本
captain	n.（海军）上校；船长；舰长；队长
car	n. 汽车；小卧车
card	n.卡片；名片；纸牌
care	n. 照料；保护；小心；v. 介意......；在乎；关心
care about	phr. 关心；在意
care for	phr. 照顾；喜欢
careful	adj. 小心；仔细；谨慎的
carefully	adv. 小心地
careless	adj. 粗心的；漫不经心的
carrot	n. 胡萝卜
carry	v. 拿；搬；带；提；抬；背；抱；运等
cartoon	n. 卡通片；动画片；连环漫画；v. 为...画漫画；画漫画
case	n. 情况；实例；箱；v. 包围；把...装于容器中
cat	n. 猫
catch	v. 接住；捉住；赶上；染上（疾病）
catch up with	phr. 赶上
cause	n. 原因；起因；v. 促使；引起；使发生
cave	n. 洞穴；窑洞；v. 凹陷；塌落；投降
ceiling	n. 天花板；顶棚
celebrate	v. 庆祝
celebration	n. 庆祝；庆祝会
cent	n. 美分（100 cents = 1 dollar）
center	n. 中心；中央
central	n. 电话总机；adj. 中心的；主要的；中枢的
century	n. 世纪；百年
certain	adj. （未指明真实名称的）某......；确定的；无疑的；一定会......
certainly	adv. 当然；一定；无疑
chain	n. 链；束缚；枷锁；v. 束缚；囚禁；用铁链锁住
chair	n. 椅子
chalk	n. 粉笔
challenge	n.挑战（性）
challenging	v. 要求；质疑；反对；adj. 挑战的；引起挑战性兴趣的
chance	n. 机会；可能性
change	n. 零钱；找头；v. 改变；变化；更换；兑换
channel	n.频道；通道；水渠
character	n. 性格；品质；特性；v. 印；刻；使具有特征
charge	n. 费用；电荷；掌管；v. 使充电；使承担；指责
chat	n. 聊天；闲谈；v. 与...搭讪；与...攀谈；聊天
cheap	adj. 便宜的；贱
cheat	n. 欺骗；作弊；骗子；v. 欺骗；骗取；作弊
check	n. 检查；批改；v. 校对；核对；检查；批改
cheek	n. 面颊；脸颊；臀部；v. 无礼地向...讲话；对...大胆无礼
cheer	n. 欢呼；愉快；心情；v. 欢呼；使高兴；为...加油
cheer up	phr. 振作起来；使高兴
cheerful	adj. 快乐的；愉快的；高兴的
cheese	n. 奶酪
chemical	n. 化学制品；化学药品；adj. 化学的
chemistry	n. 化学
chess	n. 国际象棋；棋
chicken	n. 鸡；鸡肉
child	n. 孩子；儿童
chocolate	n. 巧克力
choice	n. 选择；选择权；精选品；adj. 精选的；仔细推敲的
choose	v. 选择
chopstick	n. 筷子
cigarette	n. 香烟；纸烟
cinema	n. 电影院；电影
circle	n./v. 圆；环绕
city	n. 市；城市；都市
class	n.（学校的）班；年级；课
classmate	n. 同班同学
classroom	n. 教室
clay	n. 粘土；泥土；肉体；v. 用黏土处理
clean	v. 弄干净；擦干净；adj. 清洁的；干净的
clean up	phr. 打扫干净
clear	adj. 清晰；明亮的；清楚的
clearly	adv. 清楚地；无疑地
clerk	n. 职员；办事员；店员；v. 当销售员；当店员；当职员
clever	adj. 聪明的；伶俐的
click	n. 单击；滴答声；v. 作咔哒声；点击；使发咔哒声
climate	n. 气候
climb	v. 爬；攀登
clock	n. 钟
close	adj. 亲密的；近；靠近；adv. 近；靠近；v. 关；关闭
cloth	n. 布
clothes	n. 衣服；各种衣物
clothing	n. （总称） 服装；帆装；v. 覆盖；给...穿衣
cloud	n. 云；云状物；阴影
cloudy	adj. 多云的；阴天的
club	n. 俱乐部；纸牌中的梅花
coach	n. 教练；旅客车厢；长途公车；v. 训练；指导；作指导
coal	n. 煤；煤块
coast	n. 海岸；滑坡；v. 沿...岸航行；滑行；沿岸航行
coat	n. 外套；涂层；表皮；皮毛
coffee	n. 咖啡
coin	n. 硬币
cold	adj. 冷的；寒的；n. 寒冷；感冒；伤风
collect	v. 收集；搜集
college	n. 学院；专科学校
color	n. 颜色；v. 给......着色；涂色
comb	n. 梳子；蜂巢；鸡冠；v. 梳头发；梳毛；（浪）涌起
come	v. 来；来到
come back	phr. 回来
come from	phr. 来自
come on	phr. 快点；加油
come out	phr. 出现；出版；开花
come true	phr. 实现；成为现实
comedy	n. 喜剧；喜剧性；有趣的事情
comfortable	adj. 舒服的；安逸的；舒服自在的
common	adj. 普通；一般；共有的
communicate	v. 交流；沟通
communication	n. 交流；沟通
community	n. 社区；群落；共同体
company	n. 公司
compare	v. 相比；匹敌；比较；n. 比较
compare with	phr. 与......比较
compete	v. 竞争；比赛；对抗
competition	n. 比赛；竞赛
complete	adj. 完整的；完全的；彻底的；v. 完成
computer	n. 电子计算机
computer game	n. 电子游戏
concert	n. 音乐会；演奏会
conclusion	n. 结论；结局；推论
condition	n. 条件；情况；环境；v. 决定；使适应；使健康
confident	adj. 自信的
congratulate	v. 祝贺
congratulation	n. 祝贺；庆贺
connect	v. 连接；把......联系起来
connect with	phr. 与......连接；联系
consider	v. 考虑；认为；细想
continent	n. 大陆；洲；陆地；adj. 自制的；克制的
continue	v. 继续
contribution	n. 贡献；捐献；投稿
control	n. 控制；管理；抑制；v. 控制；管理；抑制
convenient	adj. 方便的；适当的；近便的
conversation	n. 谈话；交谈
cook	n. 炊事员；厨师；v. 烹调；做饭
cooker	n. 炊具；烹饪用水果；窜改者
cookie	n. 小甜饼
cool	adj. 凉的；凉爽的；酷
copy	n. 抄本；副本；一本（份；册......）；v. 抄写；复印；拷贝
corn	n. 玉米；谷物
corner	n. 角；角落；拐角
correct	v. 改正；纠正；adj. 正确的；对的；恰当的
cost	v.值（钱）；花费；n. 价格
cough	n./v. 咳嗽
could	modal v. 能；可以；可能
count	v. 数；点数
country	n. 国家；农村；乡下
countryside	n. 乡下；农村
couple	n. 夫妇；一对
courage	n. 勇气；胆量
course	n. 过程；经过；课程
cousin	n. 堂（表）兄弟；堂（表）姐妹
cover	n. 盖子；罩；v. 覆盖；遮盖；掩盖
cow	n. 母牛；奶牛
crash	v./n. 碰撞；撞击
crayon	n. 蜡笔；有色粉笔；v. 以蜡笔作画；用颜色粉笔画
crazy	adj. 疯狂的；狂热的；着迷的
cream	n. 奶油；乳脂
create	v. 创造；创作；造成
creative	adj. 创造性的
crime	n. 罪行；犯罪；罪恶；v. 控告......违反纪律
criminal	n. 罪犯；adj. 刑事的；犯罪的；罪恶的
crop	n. 庄稼；收成
cross	adj. 脾气不好的；易怒的；n. 十字形的东西；v. 越过；穿过
crossing	n. 十字路口；人行横道
crowd	n. 人群；v. 拥挤；群聚
cruel	adj. 残酷的；残忍的；使人痛苦的
cry	n. 叫喊；哭声；v. 喊叫；哭
culture	n. 文化
cup	n. 茶杯
cure	n. 治疗；治愈；疗法；v. 治疗；治愈；使硫化
custom	n. 习惯；惯例；风俗；adj. （衣服等）定做的；定制的
customer	n.（商店）顾客；主顾
cut	v. 切；剪；削；割
cut down	phr. 砍倒；减少
cute	adj.可爱的
cycle	n. 循环；周期；自行车；v. 使循环；使轮转；循环
daily	adj. 每日的；日常的；adv. 每天；n. 日报
damage	v. 损害；损毁；毁坏；n. 损害；损毁；赔偿金
dance	n./v. 跳舞
danger	n. 危险；危险物；威胁
dangerous	adj. 危险的
dare	v./aux. 敢；敢于
dark	n. 黑暗；暗处；日暮；adj. 黑暗的；暗淡的；深色的
darkness	n. 黑暗；模糊；无知
date	n. 日期；约会；n.枣
daughter	n. 女儿
day	n.（一）天；（一）日；白天
dead	adj. 死的；无生命的
deaf	adj. 聋的
deal	n. 量；数额；交易
deal with	phr. 处理；应对
dear	interj.（表示惊愕）哎呀!唷!adj. 亲爱的；贵的
death	n. 死
decide	v. 决定；下决心
decision	n. 决定
decorate	v. 装饰；修饰
deep	adj. 深；adv. 深；深厚
defeat	n. 失败的事实；击败的行为；v. 击败；战胜；挫败
degree	n. 程度；等级；度
delete	v. 删除
delicious	adj. 美味的；可口的
dentist	n. 牙科医生
depend	v. 依靠；依赖；指望；取决于
depend on	phr. 依靠；取决于
describe	v. 描写；叙述
description	n. 描述；描写
desert	n. 沙漠；v. 舍弃；遗弃
desk	n. 书桌；写字台
dessert	n. 餐后甜点；甜点心
destroy	v. 破坏；毁坏
detective	n. 侦探
develop	v.（使）发展；开发；v. 冲洗（照片）
development	n. 发展；开发；发育
devote	v. 致力于；奉献
dialogue	n. 对话
diamond	n. 钻石；金刚石；菱形；adj. 菱形的；金刚钻的
diary	n. 日记；日记簿
dictionary	n. 词典；字典
die	v. 死
diet	n. 饮食；食物；规定饮食；v. 照规定饮食；节食
difference	n. 不同
different	adj. 不同的；有差异的
difficult	adj. 难；艰难；不易相处的
difficulty	n. 困难；费力
dig	v. 挖（洞沟）；掘
dining	n. 吃饭；进餐；v. 吃饭
dining room	n. 餐厅；饭厅
dinner	n. 正餐；宴会
dinosaur	n. 恐龙；过时、落伍的人或事物
direct	adj. 直接的；直截了当的；v. 指挥；指导；导演（电影）
direction	n. 方向；方位
director	n. 所长；处长；主任；董事；导演
dirty	adj. 脏的
disabled	adj. 残废的；有缺陷的；v. 使...失去能力
disadvantage	n. 缺点；不利条件；损失
disagree	v. 不同意；不一致；争执
disappear	v. 消失
discover	v. 发现
discovery	n. 发现
discuss	v. 讨论；议论
discussion	n. 讨论
disease	n. 病；疾病
dish	n. 盘；碟；盘装菜；盘形物
dislike	n. 嫌恶；反感；不喜爱；v. 不喜欢；厌恶
distance	n. 距离；远方；疏远；v. 疏远；把...远远甩在后面
dive	v. 跳水
divide	v. 分；划分
do	v./aux. 做；干
do one's best	phr. 尽某人最大努力
doctor	n. 医生；大夫；博士
document	n. 文件；公文；文档；v. 用文件证明
dog	n. 狗
doll	n. 玩偶；玩具娃娃
dollar	n. 元（美国、加拿大、澳大利亚等国货币单位）
door	n. 门
double	adj. 两倍.双的；n. 两个.双
doubt	n. 怀疑；疑问；疑惑；v. 怀疑；不信；恐怕
down	prep. 沿着；沿......而下；adv. 向下
download	n./v. 下载
downtown	n. 城市的商业区；中心区；闹市区；adj. 商业区的；闹市区的
draw	v. 绘画；绘制；拉；拖；提取（金钱）
dream	n./v. 梦；梦想
dress	n. 女服；连衣裙；（统指）服装；童装；v. 穿衣
dress up	phr. 装扮；穿上盛装
drink	n. 饮料；喝酒
drive	n. 驱动器；驾车；内驱力；v. 开车；猛击；飞跑
driver	n. 驾驶员；驱动程序；起子
drop	n.滴；v.掉下；落下；投递；放弃
drum	n. 鼓；鼓声；v. 击鼓；大力争取
dry	v. 使......干；弄干；擦干；adj. 干的；干燥的
duck	n. 鸭子
dumpling	n. 饺子
during	prep. 在......期间；在......过程中
dust	n. 灰尘；尘土
duty	n. 责任；义务
each	adj./pron. 每人；每个；每件
each other	phr. 互相；彼此
eagle	n. 鹰；鹰状标饰
ear	n.耳朵.耳状物；听力；听觉
early	adj. 早的；adv. 早地
earth	n. 地球；土；泥；大地
earthquake	n. 地震
easily	adv. 容易地；无疑地
east	adj. 东方；东部的；adv. 在东方；向东方；n. 东；东方
eastern	n. 东方人；（美国）东部地区的人；adj. 东方的；朝东的；东洋的
easy	adj. 容易的；不费力的
eat	v. 吃
educate	v. 教育；培养；训练
education	n. 教育；培养
effect	n. 影响；效果；作用；v. 产生；达到目的
effort	n. 努力；成就
egg	n. 蛋；卵
eight	num. 八
eighteen	num. 十八
eighth	num. 第八
eighty	num. 八十
either	adj. 两方任一方的；二者之一；conj. 二者之一；要么；adv. 也
elder	n. 长者；前辈
electricity	n. 电；电流
electronic	adj. 电子的；n. 电子电路；电子器件
elephant	n. 象
eleven	num. 十一
else	adv. 别的；其他的
email	n. 电子邮件
emperor	n. 皇帝；君主
empty	adj. 空的
encourage	v. 鼓励
end	n. 末尾；终点；结束；v. 结束；终止
enemy	n. 敌人；敌军
energy	n. 能量；精力；活力
engineer	n. 工程师；技师
enjoy	v. 欣赏；享受乐趣；喜欢
enjoy oneself	phr. 玩得开心
enjoyable	adj. 愉快的；有趣的
enough	n. 足够；充足；adj. 足够；充分的；adv. 足够地；充分地
enter	v. 进入
entrance	n. 入口；入场；进入的权利；入学许可
entry	n. 进入
environment	n.环境
equal	adj. 平等的；v. 等于；使等于
eraser	n. 橡皮擦；黑板擦
escape	n./v. 逃跑；逃脱
especially	adv. 特别；尤其
even	adv. 甚至；连（......都）；更
evening	n. 傍晚；晚上
event	n. 事件；大事
ever	adv. 曾经；无论何时
every	adj. 每一；每个的
everybody	pron. 每人；人人
everyday	adj. 每日的；日常的
everyone	pron. 每人；人人
everything	pron. 每件事；事事
everywhere	adv. 到处
exact	adj. 精确的；确切的
exactly	adv. 精确地；确切地
exam	n. 考试；测试；检查；审查
examine	v. 检查；诊察
example	n. 例子；榜样
excellent	adj. 极好的；优秀的
except	prep. 除......之外
exchange	n. 交换；交流；交易所；v. 交换；交易；兑换
excited	v. 激动；唤起；adj. 兴奋的；激动的；活跃的
exciting	adj. 令人兴奋的；使人激动的；v. 激动；刺激；唤起
excuse	n. 借口；辩解；v. 原谅；宽恕
exercise	n. 锻炼；做操；练习；习题；v. 锻炼
exhibition	n. 展览；展览会
exit	n. 出口；通道；退场；v. 退出；离去
expect	v. 预料；盼望；认为
expensive	adj. 昂贵的
experience	n. 经历；经验；v. 经历
experiment	n. 实验
expert	n. 专家；能手
explain	v. 解释；说明
explore	v. 探索；探测；探险
express	v. 表达；表示；表情；n. 快车；特快专递
expression	n. 表现；表示；表达
extra	n. 临时演员；号外；额外的事物；adj. 额外的；另外收费的；特大的；adv. 特别地；非常；另外
eye	n. 眼睛
face	n. 脸；v. 面向；面对
fact	n. 事实；现实
factory	n. 工厂
fail	v. 失败；不及格；衰退
fair	n. 展览会；市集；美人；adj. 公平的；美丽的；白皙的；v. 转晴
fall	n. 下降；秋天；瀑布；adj. 秋天的；v. 落下；变成；来临
fall asleep	phr. 入睡
fall behind	phr. 落后
fall down	phr. 跌倒；倒塌
fall in love with	phr. 爱上；喜欢上
familiar	n. 常客；密友；adj. 熟悉的；常见的；亲近的
family	n. 家庭；家族；子女
famous	adj. 著名的
fan	n.（电影、运动等的）迷；热心的爱好者（支持者）；n. 风扇
fantastic	n. 古怪的人；adj. 奇异的；空想的；异想天开的
far	adj./adv. 远的；远地
farm	n. 农场；农庄
farmer	n. 农民
